"Component Status","Product","Reference","Source","Responsible","Start","End","Deadline","State","Quantity Producing","Quantity To Produce","Total Quantity","Product/Cost","Product/Sales Price"
"Available","[FURN_7800] Desk Combination","WH/MO/01424","","Default User Template","2024-10-10 01:00:00","2024-11-12 01:00:00","2025-01-13 01:00:00","","7.0","7.0","7.0","300.0","450.0"
"Available","[FURN_8522] Table Top","WH/MO/02464","","OdooBot","2024-10-10 01:00:00","2024-10-24 01:00:00","2024-12-27 01:00:00","","2.0","2.0","2.0","240.0","380.0"
"Available","[FURN_8522] Table Top","WH/MO/03654","","OdooBot","2024-10-10 01:00:00","2024-11-05 01:00:00","2024-11-22 01:00:00","","4.0","4.0","4.0","240.0","380.0"
"","[FURN_7800] Desk Combination","WH/MO/09339","","OdooBot","2024-10-11 01:00:00","2024-11-04 01:00:00","2024-11-02 01:00:00","Cancelled","5.0","17.0","17.0","300.0","450.0"
"","[FURN_7800] Desk Combination","WH/MO/09759","","Default User Template","2024-10-13 01:00:00","2024-11-05 01:00:00","2024-10-24 01:00:00","Cancelled","0.0","1.0","1.0","300.0","450.0"
"","[FURN_9666] Table","WH/MO/00569","","Default User Template","2024-10-14 01:00:00","2024-11-01 01:00:00","2024-10-30 01:00:00","Cancelled","1.0","2.0","2.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/08534","SO-9534","Public user","2024-10-14 01:00:00","2024-10-29 01:00:00","2024-11-20 01:00:00","","19.0","19.0","19.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/08714","SO-9714","Portal User Template","2024-10-14 01:00:00","2024-11-14 01:00:00","2025-01-15 01:00:00","","7.0","7.0","7.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/06304","SO-7304","Default User Template","2024-10-15 01:00:00","2024-10-31 01:00:00","2024-12-01 01:00:00","","19.0","19.0","19.0","300.0","450.0"
"","[FURN_7800] Desk Combination","WH/MO/05519","","Public user","2024-10-16 01:00:00","2024-11-12 01:00:00","2024-10-23 01:00:00","Cancelled","0.0","2.0","2.0","300.0","450.0"
"Available","[FURN_8522] Table Top","WH/MO/06694","SO-7694","Public user","2024-10-16 01:00:00","2024-11-13 01:00:00","2024-12-28 01:00:00","","3.0","3.0","3.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/00159","","Mitchell Admin","2024-10-17 01:00:00","2024-12-09 01:00:00","2024-11-05 01:00:00","Cancelled","9.0","13.0","13.0","100.0","110.5"
"","[FURN_7800] Desk Combination","WH/MO/00239","","Portal User Template","2024-10-17 01:00:00","2024-11-14 01:00:00","2024-10-25 01:00:00","Cancelled","9.0","17.0","17.0","300.0","450.0"
"Available","[FURN_7800] Desk Combination","WH/MO/06964","","Default User Template","2024-10-17 01:00:00","2024-10-30 01:00:00","2025-01-19 01:00:00","","20.0","20.0","20.0","300.0","450.0"
"","[FURN_8522] Table Top","WH/MO/00409","","Mitchell Admin","2024-10-21 01:00:00","2024-11-23 01:00:00","2024-11-03 01:00:00","Cancelled","9.0","11.0","11.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/01419","SO-2419","Mitchell Admin","2024-10-21 01:00:00","2024-11-18 01:00:00","2024-11-01 01:00:00","Cancelled","0.0","2.0","2.0","100.0","110.5"
"","[FURN_8522] Table Top","WH/MO/01009","","Default User Template","2024-10-22 01:00:00","2024-11-24 01:00:00","2024-11-03 01:00:00","Cancelled","3.0","4.0","4.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/00189","","Default User Template","2024-10-25 01:00:00","2024-12-16 01:00:00","2024-11-12 01:00:00","Cancelled","2.0","8.0","8.0","100.0","110.5"
"","[FURN_9666] Table","WH/MO/02909","SO-3909","Mitchell Admin","2024-10-25 01:00:00","2024-12-14 01:00:00","2024-11-17 01:00:00","Cancelled","8.0","19.0","19.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/05364","SO-6364","Portal User Template","2024-10-25 01:00:00","2024-12-03 01:00:00","2024-12-12 01:00:00","","12.0","12.0","12.0","300.0","450.0"
"","[FURN_7023] Wood Panel","WH/MO/02939","","OdooBot","2024-10-26 01:00:00","2024-11-14 01:00:00","2024-11-08 01:00:00","Cancelled","2.0","7.0","7.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/05694","","Default User Template","2024-10-27 01:00:00","2024-12-07 01:00:00","2024-12-20 01:00:00","","12.0","12.0","12.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/04263","","Default User Template","2024-01-05 01:00:00","2024-01-26 01:00:00","2024-03-23 01:00:00","","18.0","18.0","18.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/04823","SO-5823","OdooBot","2024-01-07 01:00:00","2024-01-21 01:00:00","2024-03-27 01:00:00","","17.0","17.0","17.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/09473","","OdooBot","2024-01-08 01:00:00","2024-02-15 01:00:00","2024-04-04 01:00:00","","6.0","6.0","6.0","80.0","100.0"
"","[FURN_9666] Table","WH/MO/05968","SO-6968","Portal User Template","2024-01-09 01:00:00","2024-02-17 01:00:00","2024-03-08 01:00:00","Done","15.0","15.0","15.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/01523","","Mitchell Admin","2024-01-10 01:00:00","2024-01-28 01:00:00","2024-03-15 01:00:00","","6.0","6.0","6.0","300.0","450.0"
"","[FURN_9666] Table","WH/MO/08778","SO-9778","Public user","2024-01-10 01:00:00","2024-02-18 01:00:00","2024-04-09 01:00:00","Done","16.0","16.0","16.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/03223","SO-4223","Public user","2024-01-11 01:00:00","2024-02-09 01:00:00","2024-03-17 01:00:00","","2.0","2.0","2.0","240.0","380.0"
"","[FURN_7800] Desk Combination","WH/MO/08318","","Portal User Template","2024-01-13 01:00:00","2024-02-09 01:00:00","2024-03-04 01:00:00","Done","12.0","12.0","12.0","300.0","450.0"
"","[FURN_8855] Drawer","WH/MO/07678","","Portal User Template","2024-01-14 01:00:00","2024-02-01 01:00:00","2024-03-15 01:00:00","Done","4.0","4.0","4.0","100.0","110.5"
"","[FURN_7800] Desk Combination","WH/MO/02498","","Public user","2024-01-15 01:00:00","2024-02-23 01:00:00","2024-03-09 01:00:00","Done","8.0","8.0","8.0","300.0","450.0"
"Available","[FURN_7800] Desk Combination","WH/MO/09593","","Portal User Template","2024-01-19 01:00:00","2024-02-26 01:00:00","2024-04-21 01:00:00","","17.0","17.0","17.0","300.0","450.0"
"Available","[FURN_8855] Drawer","WH/MO/01513","","Default User Template","2024-01-23 01:00:00","2024-02-25 01:00:00","2024-04-05 01:00:00","","7.0","7.0","7.0","100.0","110.5"
"Available","[FURN_8522] Table Top","WH/MO/01933","","Default User Template","2024-01-23 01:00:00","2024-03-04 01:00:00","2024-03-26 01:00:00","","14.0","14.0","14.0","240.0","380.0"
"Available","[FURN_8522] Table Top","WH/MO/04853","","Portal User Template","2024-01-24 01:00:00","2024-02-08 01:00:00","2024-03-28 01:00:00","","16.0","16.0","16.0","240.0","380.0"
"Available","[FURN_8522] Table Top","WH/MO/06623","","Portal User Template","2024-01-24 01:00:00","2024-02-26 01:00:00","2024-04-01 01:00:00","","17.0","17.0","17.0","240.0","380.0"
"","[FURN_7023] Wood Panel","WH/MO/08338","","OdooBot","2024-01-26 01:00:00","2024-02-29 01:00:00","2024-04-13 01:00:00","Done","7.0","7.0","7.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/01593","","Default User Template","2024-01-27 01:00:00","2024-02-26 01:00:00","2024-04-21 01:00:00","","8.0","8.0","8.0","290.0","520.0"
"","[FURN_7800] Desk Combination","WH/MO/08228","","Default User Template","2024-01-27 01:00:00","2024-02-12 01:00:00","2024-04-23 01:00:00","Done","19.0","19.0","19.0","300.0","450.0"
"","[FURN_7800] Desk Combination","WH/MO/00818","","OdooBot","2024-01-28 01:00:00","2024-03-02 01:00:00","2024-05-02 01:00:00","Done","14.0","14.0","14.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/04433","SO-5433","OdooBot","2024-01-28 01:00:00","2024-02-24 01:00:00","2024-04-29 01:00:00","","14.0","14.0","14.0","290.0","520.0"
"","[FURN_8855] Drawer","WH/MO/06478","SO-7478","Mitchell Admin","2024-01-28 01:00:00","2024-02-26 01:00:00","2024-03-21 01:00:00","Done","4.0","4.0","4.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/07413","SO-8413","Mitchell Admin","2024-01-29 01:00:00","2024-03-06 01:00:00","2024-04-28 01:00:00","","14.0","14.0","14.0","300.0","450.0"
"","[FURN_7800] Desk Combination","WH/MO/07518","","OdooBot","2024-01-29 01:00:00","2024-03-07 01:00:00","2024-04-27 01:00:00","Done","13.0","13.0","13.0","300.0","450.0"
"Available","[FURN_7800] Desk Combination","WH/MO/03913","","Mitchell Admin","2024-01-30 01:00:00","2024-03-04 01:00:00","2024-04-02 01:00:00","","1.0","1.0","1.0","300.0","450.0"
"","[FURN_7023] Wood Panel","WH/MO/08058","","OdooBot","2024-01-30 01:00:00","2024-02-19 01:00:00","2024-05-05 01:00:00","Done","10.0","10.0","10.0","80.0","100.0"
"","[FURN_8522] Table Top","WH/MO/00088","SO-1088","Mitchell Admin","2024-01-31 01:00:00","2024-02-26 01:00:00","2024-03-27 01:00:00","Done","5.0","5.0","5.0","240.0","380.0"
"","[FURN_7800] Desk Combination","WH/MO/01808","","Default User Template","2024-02-01 01:00:00","2024-02-26 01:00:00","2024-04-26 01:00:00","Done","2.0","2.0","2.0","300.0","450.0"
"","[FURN_7023] Wood Panel","WH/MO/03888","SO-4888","OdooBot","2024-02-01 01:00:00","2024-02-21 01:00:00","2024-03-16 01:00:00","Done","15.0","15.0","15.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/06133","SO-7133","Default User Template","2024-02-02 01:00:00","2024-02-27 01:00:00","2024-03-18 01:00:00","","15.0","15.0","15.0","100.0","110.5"
"","[FURN_7023] Wood Panel","WH/MO/00738","","Mitchell Admin","2024-02-03 01:00:00","2024-02-28 01:00:00","2024-04-06 01:00:00","Done","9.0","9.0","9.0","80.0","100.0"
"","[FURN_7800] Desk Combination","WH/MO/02818","","Default User Template","2024-02-03 01:00:00","2024-03-16 01:00:00","2024-04-26 01:00:00","Done","13.0","13.0","13.0","300.0","450.0"
"","[FURN_8522] Table Top","WH/MO/03048","","Public user","2024-02-03 01:00:00","2024-03-06 01:00:00","2024-04-02 01:00:00","Done","7.0","7.0","7.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/05788","SO-6788","Public user","2024-02-03 01:00:00","2024-02-24 01:00:00","2024-04-08 01:00:00","Done","15.0","15.0","15.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/06723","","Mitchell Admin","2024-02-03 01:00:00","2024-03-07 01:00:00","2024-03-21 01:00:00","","12.0","12.0","12.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/04383","","Default User Template","2024-02-04 01:00:00","2024-03-03 01:00:00","2024-04-15 01:00:00","","5.0","5.0","5.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/05423","","Portal User Template","2024-02-04 01:00:00","2024-03-10 01:00:00","2024-04-20 01:00:00","","19.0","19.0","19.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/08773","SO-9773","Portal User Template","2024-02-04 01:00:00","2024-02-17 01:00:00","2024-05-01 01:00:00","","13.0","13.0","13.0","80.0","100.0"
"","[FURN_9666] Table","WH/MO/09398","","Portal User Template","2024-02-04 01:00:00","2024-02-29 01:00:00","2024-03-25 01:00:00","Done","17.0","17.0","17.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/07973","SO-8973","Public user","2024-02-05 01:00:00","2024-02-20 01:00:00","2024-03-26 01:00:00","","5.0","5.0","5.0","80.0","100.0"
"","[FURN_9666] Table","WH/MO/08368","SO-9368","Public user","2024-02-05 01:00:00","2024-03-18 01:00:00","2024-03-14 01:00:00","Done","4.0","4.0","4.0","290.0","520.0"
"","[FURN_8522] Table Top","WH/MO/03318","","Mitchell Admin","2024-02-07 01:00:00","2024-03-15 01:00:00","2024-04-14 01:00:00","Done","8.0","8.0","8.0","240.0","380.0"
"Available","[FURN_8855] Drawer","WH/MO/07263","","Public user","2024-02-07 01:00:00","2024-03-11 01:00:00","2024-03-23 01:00:00","","12.0","12.0","12.0","100.0","110.5"
"","[FURN_7800] Desk Combination","WH/MO/08488","","Portal User Template","2024-02-09 01:00:00","2024-03-11 01:00:00","2024-04-21 01:00:00","Done","18.0","18.0","18.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/09983","SO-10983","Portal User Template","2024-02-09 01:00:00","2024-03-07 01:00:00","2024-04-05 01:00:00","","7.0","7.0","7.0","80.0","100.0"
"","[FURN_9666] Table","WH/MO/01838","SO-2838","Public user","2024-02-10 01:00:00","2024-02-24 01:00:00","2024-04-07 01:00:00","Done","20.0","20.0","20.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/04863","SO-5863","Mitchell Admin","2024-02-11 01:00:00","2024-03-07 01:00:00","2024-03-19 01:00:00","","4.0","4.0","4.0","240.0","380.0"
"Available","[FURN_7023] Wood Panel","WH/MO/04213","SO-5213","OdooBot","2024-02-13 01:00:00","2024-02-29 01:00:00","2024-05-13 01:00:00","","19.0","19.0","19.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/05463","","Portal User Template","2024-02-16 01:00:00","2024-03-07 01:00:00","2024-05-14 01:00:00","","6.0","6.0","6.0","80.0","100.0"
"","[FURN_9666] Table","WH/MO/06258","","Public user","2024-02-17 01:00:00","2024-03-27 01:00:00","2024-03-27 01:00:00","Done","12.0","12.0","12.0","290.0","520.0"
"","[FURN_7800] Desk Combination","WH/MO/06788","","Mitchell Admin","2024-02-18 01:00:00","2024-03-16 01:00:00","2024-05-03 01:00:00","Done","15.0","15.0","15.0","300.0","450.0"
"","[FURN_7800] Desk Combination","WH/MO/07348","SO-8348","Public user","2024-02-18 01:00:00","2024-03-05 01:00:00","2024-05-11 01:00:00","Done","19.0","19.0","19.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/08163","","Mitchell Admin","2024-02-18 01:00:00","2024-03-18 01:00:00","2024-04-14 01:00:00","","6.0","6.0","6.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/00053","SO-1053","Public user","2024-02-19 01:00:00","2024-03-03 01:00:00","2024-05-20 01:00:00","","5.0","5.0","5.0","100.0","110.5"
"Available","[FURN_8522] Table Top","WH/MO/09973","","Public user","2024-02-19 01:00:00","2024-03-22 01:00:00","2024-04-14 01:00:00","","19.0","19.0","19.0","240.0","380.0"
"","[FURN_8522] Table Top","WH/MO/01228","","Mitchell Admin","2024-02-21 01:00:00","2024-03-13 01:00:00","2024-04-30 01:00:00","Done","8.0","8.0","8.0","240.0","380.0"
"Available","[FURN_8855] Drawer","WH/MO/03643","SO-4643","OdooBot","2024-02-23 01:00:00","2024-03-24 01:00:00","2024-05-01 01:00:00","","19.0","19.0","19.0","100.0","110.5"
"","[FURN_8522] Table Top","WH/MO/05908","SO-6908","Portal User Template","2024-02-23 01:00:00","2024-04-04 01:00:00","2024-04-03 01:00:00","Done","13.0","13.0","13.0","240.0","380.0"
"Available","[FURN_8855] Drawer","WH/MO/05603","SO-6603","Default User Template","2024-02-24 01:00:00","2024-03-09 01:00:00","2024-05-02 01:00:00","","19.0","19.0","19.0","100.0","110.5"
"","[FURN_9666] Table","WH/MO/09318","SO-10318","OdooBot","2024-02-24 01:00:00","2024-04-04 01:00:00","2024-05-23 01:00:00","Done","3.0","3.0","3.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/01643","","Public user","2024-02-25 01:00:00","2024-03-22 01:00:00","2024-04-17 01:00:00","","9.0","9.0","9.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/07673","SO-8673","Default User Template","2024-02-26 01:00:00","2024-03-08 01:00:00","2024-04-27 01:00:00","","16.0","16.0","16.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/07763","","Mitchell Admin","2024-02-26 01:00:00","2024-03-13 01:00:00","2024-04-04 01:00:00","","12.0","12.0","12.0","300.0","450.0"
"","[FURN_8855] Drawer","WH/MO/04378","","Mitchell Admin","2024-02-27 01:00:00","2024-04-09 01:00:00","2024-04-06 01:00:00","Done","14.0","14.0","14.0","100.0","110.5"
"","[FURN_9666] Table","WH/MO/07988","SO-8988","Public user","2024-02-27 01:00:00","2024-04-07 01:00:00","2024-05-17 01:00:00","Done","17.0","17.0","17.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/02993","","Default User Template","2024-02-28 01:00:00","2024-03-28 01:00:00","2024-04-27 01:00:00","","11.0","11.0","11.0","290.0","520.0"
"","[FURN_7800] Desk Combination","WH/MO/04678","","Mitchell Admin","2024-02-29 01:00:00","2024-03-17 01:00:00","2024-05-27 01:00:00","Done","11.0","11.0","11.0","300.0","450.0"
"Available","[FURN_7800] Desk Combination","WH/MO/03443","SO-4443","Default User Template","2024-03-04 01:00:00","2024-03-19 01:00:00","2024-04-18 01:00:00","","19.0","19.0","19.0","300.0","450.0"
"Available","[FURN_8522] Table Top","WH/MO/07163","SO-8163","Portal User Template","2024-03-04 01:00:00","2024-04-07 01:00:00","2024-06-01 01:00:00","","6.0","6.0","6.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/07108","","OdooBot","2024-03-07 01:00:00","2024-04-01 01:00:00","2024-04-21 01:00:00","Done","16.0","16.0","16.0","100.0","110.5"
"","[FURN_8855] Drawer","WH/MO/07718","","Default User Template","2024-03-10 01:00:00","2024-03-26 01:00:00","2024-04-17 01:00:00","Done","15.0","15.0","15.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/07863","SO-8863","Default User Template","2024-03-11 01:00:00","2024-03-31 01:00:00","2024-05-20 01:00:00","","7.0","7.0","7.0","80.0","100.0"
"","[FURN_8855] Drawer","WH/MO/03128","SO-4128","Public user","2024-03-12 01:00:00","2024-03-28 01:00:00","2024-05-04 01:00:00","Done","10.0","10.0","10.0","100.0","110.5"
"","[FURN_8522] Table Top","WH/MO/08588","SO-9588","Portal User Template","2024-03-14 01:00:00","2024-04-05 01:00:00","2024-05-27 01:00:00","Done","11.0","11.0","11.0","240.0","380.0"
"Available","[FURN_8522] Table Top","WH/MO/00673","","Public user","2024-03-15 01:00:00","2024-04-14 01:00:00","2024-05-08 01:00:00","","14.0","14.0","14.0","240.0","380.0"
"","[FURN_9666] Table","WH/MO/09368","SO-10368","OdooBot","2024-03-15 01:00:00","2024-04-03 01:00:00","2024-05-01 01:00:00","Done","3.0","3.0","3.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/02893","","Public user","2024-03-16 01:00:00","2024-04-22 01:00:00","2024-05-07 01:00:00","","20.0","20.0","20.0","300.0","450.0"
"","[FURN_9666] Table","WH/MO/09508","","Default User Template","2024-03-16 01:00:00","2024-04-11 01:00:00","2024-06-09 01:00:00","Done","3.0","3.0","3.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/00733","","Portal User Template","2024-03-18 01:00:00","2024-04-16 01:00:00","2024-04-30 01:00:00","","5.0","5.0","5.0","240.0","380.0"
"Available","[FURN_7023] Wood Panel","WH/MO/01193","SO-2193","OdooBot","2024-03-19 01:00:00","2024-04-28 01:00:00","2024-06-21 01:00:00","","14.0","14.0","14.0","80.0","100.0"
"","[FURN_9666] Table","WH/MO/02348","","OdooBot","2024-03-20 01:00:00","2024-04-28 01:00:00","2024-06-02 01:00:00","Done","20.0","20.0","20.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/07893","","Public user","2024-03-20 01:00:00","2024-04-11 01:00:00","2024-05-15 01:00:00","","7.0","7.0","7.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/08048","SO-9048","Mitchell Admin","2024-03-21 01:00:00","2024-04-28 01:00:00","2024-05-04 01:00:00","Done","1.0","1.0","1.0","100.0","110.5"
"","[FURN_8522] Table Top","WH/MO/06078","","Public user","2024-03-22 01:00:00","2024-04-05 01:00:00","2024-06-21 01:00:00","Done","10.0","10.0","10.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/06908","","Public user","2024-03-22 01:00:00","2024-04-06 01:00:00","2024-05-06 01:00:00","Done","10.0","10.0","10.0","100.0","110.5"
"","[FURN_7023] Wood Panel","WH/MO/02468","","Mitchell Admin","2024-03-26 01:00:00","2024-05-01 01:00:00","2024-05-11 01:00:00","Done","5.0","5.0","5.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/00243","","Portal User Template","2024-03-28 01:00:00","2024-05-02 01:00:00","2024-05-24 01:00:00","","10.0","10.0","10.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/02103","SO-3103","OdooBot","2024-03-29 01:00:00","2024-05-09 01:00:00","2024-06-22 01:00:00","","9.0","9.0","9.0","300.0","450.0"
"Available","[FURN_8855] Drawer","WH/MO/00543","","Portal User Template","2024-03-31 01:00:00","2024-05-02 01:00:00","2024-06-27 01:00:00","","4.0","4.0","4.0","100.0","110.5"
"Available","[FURN_9666] Table","WH/MO/07943","SO-8943","Portal User Template","2024-03-31 01:00:00","2024-04-18 01:00:00","2024-07-03 01:00:00","","6.0","6.0","6.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/01883","","Portal User Template","2024-04-01 01:00:00","2024-05-09 01:00:00","2024-06-24 01:00:00","","10.0","10.0","10.0","240.0","380.0"
"Available","[FURN_8522] Table Top","WH/MO/01993","SO-2993","Public user","2024-04-01 01:00:00","2024-05-02 01:00:00","2024-06-07 01:00:00","","19.0","19.0","19.0","240.0","380.0"
"","[FURN_8855] Drawer","WH/MO/02028","","Public user","2024-04-01 01:00:00","2024-04-27 01:00:00","2024-05-13 01:00:00","Done","20.0","20.0","20.0","100.0","110.5"
"Available","[FURN_7023] Wood Panel","WH/MO/08133","","Mitchell Admin","2024-04-01 01:00:00","2024-04-13 01:00:00","2024-06-23 01:00:00","","10.0","10.0","10.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/00403","","Default User Template","2024-04-02 01:00:00","2024-04-25 01:00:00","2024-05-10 01:00:00","","3.0","3.0","3.0","80.0","100.0"
"","[FURN_9666] Table","WH/MO/04038","","Mitchell Admin","2024-04-05 01:00:00","2024-05-14 01:00:00","2024-07-02 01:00:00","Done","4.0","4.0","4.0","290.0","520.0"
"","[FURN_9666] Table","WH/MO/02428","SO-3428","OdooBot","2024-04-06 01:00:00","2024-05-13 01:00:00","2024-06-22 01:00:00","Done","15.0","15.0","15.0","290.0","520.0"
"","[FURN_9666] Table","WH/MO/00038","","Portal User Template","2024-04-07 01:00:00","2024-04-26 01:00:00","2024-06-05 01:00:00","Done","10.0","10.0","10.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/03773","SO-4773","Portal User Template","2024-04-07 01:00:00","2024-05-05 01:00:00","2024-06-12 01:00:00","","15.0","15.0","15.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/04203","","Portal User Template","2024-04-09 01:00:00","2024-04-22 01:00:00","2024-05-29 01:00:00","","10.0","10.0","10.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/02623","","Portal User Template","2024-04-10 01:00:00","2024-05-01 01:00:00","2024-06-17 01:00:00","","10.0","10.0","10.0","80.0","100.0"
"","[FURN_8855] Drawer","WH/MO/02168","SO-3168","Portal User Template","2024-04-11 01:00:00","2024-05-19 01:00:00","2024-06-20 01:00:00","Done","5.0","5.0","5.0","100.0","110.5"
"","[FURN_8855] Drawer","WH/MO/06028","","Default User Template","2024-04-13 01:00:00","2024-05-03 01:00:00","2024-06-08 01:00:00","Done","7.0","7.0","7.0","100.0","110.5"
"Available","[FURN_7800] Desk Combination","WH/MO/07703","","Mitchell Admin","2024-04-13 01:00:00","2024-05-21 01:00:00","2024-06-11 01:00:00","","15.0","15.0","15.0","300.0","450.0"
"","[FURN_8855] Drawer","WH/MO/09498","SO-10498","Default User Template","2024-04-14 01:00:00","2024-04-28 01:00:00","2024-05-23 01:00:00","Done","14.0","14.0","14.0","100.0","110.5"
"Available","[FURN_8522] Table Top","WH/MO/02033","","Mitchell Admin","2024-04-16 01:00:00","2024-05-05 01:00:00","2024-05-24 01:00:00","","18.0","18.0","18.0","240.0","380.0"
"Available","[FURN_7023] Wood Panel","WH/MO/01703","SO-2703","Mitchell Admin","2024-04-18 01:00:00","2024-05-25 01:00:00","2024-07-12 01:00:00","","20.0","20.0","20.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/02693","","OdooBot","2024-04-18 01:00:00","2024-05-11 01:00:00","2024-07-10 01:00:00","","19.0","19.0","19.0","290.0","520.0"
"Available","[FURN_9666] Table","WH/MO/09443","SO-10443","Mitchell Admin","2024-04-18 01:00:00","2024-05-21 01:00:00","2024-07-01 01:00:00","","3.0","3.0","3.0","290.0","520.0"
"","[FURN_9666] Table","WH/MO/09738","","OdooBot","2024-04-19 01:00:00","2024-05-23 01:00:00","2024-06-12 01:00:00","Done","14.0","14.0","14.0","290.0","520.0"
"","[FURN_8522] Table Top","WH/MO/07078","","Portal User Template","2024-04-22 01:00:00","2024-05-15 01:00:00","2024-07-14 01:00:00","Done","16.0","16.0","16.0","240.0","380.0"
"","[FURN_7800] Desk Combination","WH/MO/07248","SO-8248","Default User Template","2024-04-22 01:00:00","2024-05-13 01:00:00","2024-07-02 01:00:00","Done","18.0","18.0","18.0","300.0","450.0"
"Available","[FURN_8855] Drawer","WH/MO/09193","","Public user","2024-04-22 01:00:00","2024-05-14 01:00:00","2024-06-09 01:00:00","","16.0","16.0","16.0","100.0","110.5"
"","[FURN_7023] Wood Panel","WH/MO/02108","","Default User Template","2024-04-23 01:00:00","2024-05-24 01:00:00","2024-07-06 01:00:00","Done","13.0","13.0","13.0","80.0","100.0"
"Available","[FURN_9666] Table","WH/MO/04413","","OdooBot","2024-04-24 01:00:00","2024-05-13 01:00:00","2024-07-13 01:00:00","","11.0","11.0","11.0","290.0","520.0"
"","[FURN_8855] Drawer","WH/MO/09778","","Portal User Template","2024-04-24 01:00:00","2024-05-08 01:00:00","2024-07-28 01:00:00","Done","7.0","7.0","7.0","100.0","110.5"
"","[FURN_8855] Drawer","WH/MO/02138","","OdooBot","2024-04-25 01:00:00","2024-05-31 01:00:00","2024-07-14 01:00:00","Done","17.0","17.0","17.0","100.0","110.5"
"","[FURN_7023] Wood Panel","WH/MO/02718","","OdooBot","2024-04-27 01:00:00","2024-05-19 01:00:00","2024-06-12 01:00:00","Done","3.0","3.0","3.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/02973","SO-3973","Default User Template","2024-04-28 01:00:00","2024-06-07 01:00:00","2024-06-12 01:00:00","","18.0","18.0","18.0","240.0","380.0"
"","[FURN_7800] Desk Combination","WH/MO/06758","","Mitchell Admin","2024-04-28 01:00:00","2024-06-05 01:00:00","2024-07-05 01:00:00","Done","19.0","19.0","19.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/08243","","OdooBot","2024-04-28 01:00:00","2024-05-10 01:00:00","2024-06-09 01:00:00","","15.0","15.0","15.0","290.0","520.0"
"","[FURN_7800] Desk Combination","WH/MO/06978","SO-7978","Mitchell Admin","2024-05-01 01:00:00","2024-06-08 01:00:00","2024-07-02 01:00:00","Done","7.0","7.0","7.0","300.0","450.0"
